"Регион РФ(область, край, город фед. значения, округ)",Административный район,Населённый пункт,Улица,Плановое время начала отключения электроснабжения,Плановое время начала отключения электроснабжения Время,Плановое время восстановления отключения электроснабжения,Плановое время восстановления отключения электроснабжения Время,Филиал,РЭС,Комментарий,Id здания,Координаты
Санкт-Петербург,Курортный район,п.Молодежное,"Правды ул,  д.3 ,  ",22-09-2023,09:00,22-09-2023,20:00,Северные электрические сети,Курортный РЭС,Замена трансформаторов тока,13240.0,"[59.924412048,30.343279545]"
Санкт-Петербург,Курортный район,п.Молодежное,"Правды ул,  д.5 ,  ",22-09-2023,09:00,22-09-2023,20:00,Северные электрические сети,Курортный РЭС,Замена трансформаторов тока,76390.0,"[59.923934792,30.342801144]"
Санкт-Петербург,Курортный район,п.Молодежное,"Правды ул,  д.5 лит.А",22-09-2023,09:00,22-09-2023,20:00,Северные электрические сети,Курортный РЭС,Замена трансформаторов тока,76390.0,"[59.923934792,30.342801144]"
Санкт-Петербург,Курортный район,п.Молодежное,"Правды ул,  д.6А",22-09-2023,09:00,22-09-2023,20:00,Северные электрические сети,Курортный РЭС,Замена трансформаторов тока,18355.0,"[59.923996854,30.343854038]"
Санкт-Петербург,Курортный район,п.Молодежное,"Приморское Шоссе,  д.659 ,  ",22-09-2023,09:00,22-09-2023,20:00,Северные электрические сети,Курортный РЭС,Замена трансформаторов тока,43116.0,"[60.193615027,29.519365883]"
Санкт-Петербург,Курортный район,п.Молодежное,"Пер. Правды,  д.6 ,  ",22-09-2023,09:00,22-09-2023,20:00,Северные электрические сети,Курортный РЭС,Замена трансформаторов тока,18355.0,"[59.923996854,30.343854038]"
Санкт-Петербург,Курортный район,п.Молодежное,"Правды ул,  д.5 ",22-09-2023,09:00,22-09-2023,20:00,Северные электрические сети,Курортный РЭС,Замена трансформаторов тока,76390.0,"[59.923934792,30.342801144]"
Санкт-Петербург,Курортный район,п.Молодежное,"Правды ул,  д.5 ",22-09-2023,09:00,22-09-2023,20:00,Северные электрические сети,Курортный РЭС,Замена трансформаторов тока,76390.0,"[59.923934792,30.342801144]"
Санкт-Петербург,Курортный район,п.Молодежное,"Правды ул,  д.6 ",22-09-2023,09:00,22-09-2023,20:00,Северные электрические сети,Курортный РЭС,Замена трансформаторов тока,18355.0,"[59.923996854,30.343854038]"
Санкт-Петербург,Приморский район (СПб),"Лахта,  Ольгино","Колхозная ул,  уч.2",22-09-2023,09:00,22-09-2023,17:00,Северные электрические сети,Песочинский РЭС,"Уведомляем Вас о временном прекращение подачи электрической энергии на объекты нежилых и жилых помещений в посёлке Ольгино на 6 часов в период с 21.09.-22.09.203 с 09:00 до 17:00 в связи с технологическим подключением абонента по заявке №22-049970 филиала ПАО «Россети Ленэнерго» СЭС.

Напряжение на объекты будет подаваться по факту завершения работ без предварительного уведомления. На указанный период производства работ энергоснабжаемые объекты считать под напряжением.",64443.0,"[59.782006284,30.130922511]"
Санкт-Петербург,Приморский район (СПб),"Лахта,  Ольгино","Колхозная ул,  уч.1 ",22-09-2023,09:00,22-09-2023,17:00,Северные электрические сети,Песочинский РЭС,"Уведомляем Вас о временном прекращение подачи электрической энергии на объекты нежилых и жилых помещений в посёлке Ольгино на 6 часов в период с 21.09.-22.09.203 с 09:00 до 17:00 в связи с технологическим подключением абонента по заявке №22-049970 филиала ПАО «Россети Ленэнерго» СЭС.

Напряжение на объекты будет подаваться по факту завершения работ без предварительного уведомления. На указанный период производства работ энергоснабжаемые объекты считать под напряжением.",21417.0,"[60.08514773,30.294784012]"
Санкт-Петербург,Приморский район (СПб),"Лахта,  Ольгино","Партизан ул,  участок 1 ",22-09-2023,09:00,22-09-2023,17:00,Северные электрические сети,Песочинский РЭС,"Уведомляем Вас о временном прекращение подачи электрической энергии на объекты нежилых и жилых помещений в посёлке Ольгино на 6 часов в период с 21.09.-22.09.203 с 09:00 до 17:00 в связи с технологическим подключением абонента по заявке №22-049970 филиала ПАО «Россети Ленэнерго» СЭС.

Напряжение на объекты будет подаваться по факту завершения работ без предварительного уведомления. На указанный период производства работ энергоснабжаемые объекты считать под напряжением.",2201.0,"[59.992371177,30.154950538]"
Санкт-Петербург,Пушкинский район,г. Пушкин,Саперная. д. 55 к1,21-09-2023,22:00,22-09-2023,07:00,Южные электрические сети,Пушкинский РЭС,,213099.0,"[59.701356243,30.40197155]"
Ленинградская область,Тихвинский район,п.Шугозеро,"Советская многоквартирный д. 58, 6",21-09-2023,13:00,21-09-2023,16:00,Тихвинские ЭС,Бокситогорский РЭС,,45478.0,"[59.933801161,30.381933956]"
Санкт-Петербург,Красногвардейский район,Санкт-Петербург,"Революции ш.,  д.102",21-09-2023,12:00,21-09-2023,18:00,Кабельная сеть,Восточный РЭС,,3052.0,"[59.964059451,30.466101937]"
Санкт-Петербург,Московский район,Санкт-Петербург,Предпортовый пр. д. 1,21-09-2023,12:00,21-09-2023,17:00,Кабельная сеть,Южный РЭС,,40777.0,"[59.840733725,30.309697989]"
Санкт-Петербург,Фрунзенский район,г. Санкт-Петербург,"Бухарестская улица,  дом 96,  ",21-09-2023,11:00,21-09-2023,17:00,Кабельная сеть,Невский РЭС,,124989.0,"[59.859894704,30.393356126]"
