"Регион РФ(область, край, город фед. значения, округ)",Административный район,Населённый пункт,Улица,Плановое время начала отключения электроснабжения,Плановое время начала отключения электроснабжения Время,Плановое время восстановления отключения электроснабжения,Плановое время восстановления отключения электроснабжения Время,Филиал,РЭС,Комментарий
Санкт-Петербург,Калининский район,Санкт-Петербург,"Бестужевская ул.,  д.5/1,  5/2,  7/6",19-09-2023,10:00,19-09-2023,16:00,Кабельная сеть,Восточный РЭС,
Ленинградская область,Ломоносовский район,д.Лаголово,,19-09-2023,10:00,19-09-2023,17:00,Южные электрические сети,Красносельский РЭС,ТП-2044
Санкт-Петербург,Центральный район ,Санкт-Петербург,"Итальянская ул., д.25, 10, Садовая ул., д.12,  ул. Малая Садовая,  д. 1/25",19-09-2023,10:00,19-09-2023,18:00,Кабельная сеть,Центральный РЭС,
Ленинградская область,Всеволожский район,"д.Суоранда, д.Верхняя",,19-09-2023,10:00,19-09-2023,18:36,Северные электрические сети,Всеволожский РЭС,
Санкт-Петербург,Красносельский район,Красное село,пр. Ленина,19-09-2023,10:00,19-09-2023,17:00,Южные электрические сети,Красносельский РЭС,ТП-407к отключение на 2 часа
Санкт-Петербург,Василеостровский район,Санкт-Петербург,"ул. Уральская,  д. 8а; д. 8б,  д. 11,  д. 13 лит. П,  Ф; ул. Железноводская,  д. 10",19-09-2023,10:00,19-09-2023,18:00,Кабельная сеть,Островной РЭС,
Санкт-Петербург,Петроградский район,Санкт-Петербург,"ул. Ремесленная,  д. 9 к.2; Петровский пр.,  д. 20 лит. З,  к. 4,  д. 20 лит. С",19-09-2023,10:00,19-09-2023,18:00,Кабельная сеть,Островной РЭС,
Санкт-Петербург,Петроградский район,Санкт-Петербург,"Петроградская наб.,  д. 26-28,  д. 30,  д. 32; Пинский пер.,  д. 1-3",19-09-2023,10:00,19-09-2023,18:00,Кабельная сеть,Островной РЭС,
Ленинградская область,Всеволожский район,Невская Дубровка,,19-09-2023,10:00,19-09-2023,17:00,Северные электрические сети,Всеволожский РЭС,
Санкт-Петербург,Калининский район,Санкт-Петербург,пр.Мечникова/ул.Замшина-светофор; ЖЭУ 21 Калининского района,19-09-2023,10:00,19-09-2023,22:00,Кабельная сеть,Восточный РЭС,
Ленинградская область,Тосненский район,п. Сиголово,"Солнечная,  Заречная",19-09-2023,10:00,19-09-2023,17:00,Гатчинские ЭС,Тосненский РЭС,"Выполнение замены провода на СИП, и вводов на здания."
Ленинградская область,Киришский район,ур.Посадников Остров," СНТ Радуга 2,  СНТ Радуга ,  СНТ Жилищник,  СНТ  Луг,  СНТ  Дружба,  СНТ  Энергетик,  СНТ  Водник,  МТС Посадниково,  СНТ Свет,  СНТ Анкер,  Союз,  СНТ Восток,  Вышка связи,  СНТ Маяк,  СНТ Флора,  СНТ Дорожник,  СНТ Рестовратор,  СНТ Строитель,  СНТ Ветвузовец,  СНТ Меридиан,  СНТ Содружество,  СНТ Сигнал,  СНТ Эра,  СНТ Изумрудное,  СНТ Глобус,  СНТ Вымпел,  Линк ",19-09-2023,10:00,19-09-2023,15:00,Тихвинские ЭС,Тихвинский РЭС,
Ленинградская область,Тосненский район,д. Сидорово,д.21а,19-09-2023,10:00,19-09-2023,17:00,Гатчинские ЭС,Тосненский РЭС,"Выполнение замены провода на СИП, и вводов на здания."
Ленинградская область,Выборгский район (ЛО),п.Житково,частично,19-09-2023,10:00,19-09-2023,17:00,Выборгские ЭС,Выборгский РЭС,
Санкт-Петербург,Пушкинский район,г. Пушкин,"Витебский пр-т,  Заправки Тибойл (Шелл),  Кириши,  ГазпромНефть",19-09-2023,10:00,19-09-2023,17:00,Южные электрические сети,Пушкинский РЭС,
Ленинградская область,Ломоносовский район,"СНТ Балтийская Слобода 1,  2,  3; ДНП Калитино; ДНП Малиновые вечера ,  ",,19-09-2023,10:00,19-09-2023,17:00,Гатчинские ЭС,Ломоносовский РЭС,Плановые работы
Санкт-Петербург,Пушкинский район,г. Пушкин,ул. Октябрьский б-р д.7/29,19-09-2023,10:00,19-09-2023,17:00,Южные электрические сети,Пушкинский РЭС,
Ленинградская область,Ломоносовский район,д.Гостилицы (частично),"Котельная,  гаражи,  мастерские,  мол.завод",19-09-2023,10:00,19-09-2023,17:30,Гатчинские ЭС,Ломоносовский РЭС,"Плановые работы на участке ВЛ-10кВ.
Согласование №266"
Санкт-Петербург,Адмиралтейский район,Санкт-Петербург,"Рижский пр.,  д. 58,  лит. И",19-09-2023,10:00,19-09-2023,22:00,Кабельная сеть,Центральный РЭС,Аварийные работы
Ленинградская область,Выборгский район (ЛО),п Волочаевка,ДНП Волочаевское,19-09-2023,10:00,19-09-2023,14:00,Выборгские ЭС,Рощинский РЭС,
Санкт-Петербург,Красногвардейский район,Санкт-Петербург,"Пискаревский пр.,  д.37/2",19-09-2023,10:00,19-09-2023,17:00,Кабельная сеть,Восточный РЭС,
Ленинградская область,Гатчинский район ,"п.Новинка, д.Новинка, Озерешно, Ольховец, Нестерково, Тарасино, Чаща, Дальний, Воцко, Кремено, Ракитино, СНТ""Новинка"".",,19-09-2023,10:00,19-09-2023,18:00,,,Работы на ПС-35 кВ Новинка.
Ленинградская область,Тосненский район,Федоровское,"шоссейная,  Красный Бор,  СНТ ""Микрорайон Самсоновка"" ",19-09-2023,10:00,19-09-2023,17:20,Южные электрические сети,Пушкинский РЭС,
Ленинградская область,Ломоносовский район,"д.Порзолово Болото,  СНТ ""Московка"",  СНТ ""Гнездо"" и др.","ч/с,  промзона и др. объекты",19-09-2023,10:00,19-09-2023,18:00,Южные электрические сети,Петродворцовый  РЭС,"Неплановые работы по ремонту ППр-394, перенос токоразделов."
Ленинградская область,Ломоносовский район,"д.Кабацкое,  д.Ускуля,  д.Кукушкино,  д. Кузнецы,  д. Б. Коновалово,  ДНП ""Лада"",  ДНП ""Дружное"",  и др.",ч/с промзона и пр.,19-09-2023,10:00,19-09-2023,18:00,Южные электрические сети,Петродворцовый  РЭС,"Работы по монтажу опор ВЛ-6кВ, Ф.Гидроприбор-12, от РК-15 в сторону ТП-841П."
Ленинградская область,Выборгский район (СПб),"п.Возрождение,  п.Глубокое",частично,19-09-2023,10:00,19-09-2023,17:00,Выборгские ЭС,Выборгский РЭС,
Ленинградская область,Выборгский район (ЛО),п.Ермилово,частично,19-09-2023,10:00,22-09-2023,17:00,Выборгские ЭС,Выборгский РЭС,
Ленинградская область,Выборгский район (ЛО),п.Козлово,частично,19-09-2023,10:00,19-09-2023,16:00,Выборгские ЭС,Выборгский РЭС,
Санкт-Петербург,Василеостровский район,Санкт-Петербург,"Средний пр.,  д. 61,  д. 65/41; 15-я линия,  д. 40; 16-я линия,  д. 41",19-09-2023,10:00,19-09-2023,18:00,Кабельная сеть,Островной РЭС,
Ленинградская область,Кингисеппский район,Тикопись,,19-09-2023,10:00,19-09-2023,17:00,Кингисеппские ЭС,Кингисеппский РЭС,
Ленинградская область,Ломоносовский район,д.Дубки и др.,"ч/с,  промзона и др. объекты",19-09-2023,10:00,19-09-2023,14:00,Южные электрические сети,Петродворцовый  РЭС,Аварийные работы по устранению ДКП (дерево) с ВЛ-6кВ.
