"Регион РФ(область, край, город фед. значения, округ)",Административный район,Населённый пункт,Улица,Плановое время начала отключения электроснабжения,Плановое время начала отключения электроснабжения Время,Плановое время восстановления отключения электроснабжения,Плановое время восстановления отключения электроснабжения Время,Филиал,РЭС,Комментарий
Ленинградская область,Волховский район,Колчаново,Клубная,21-09-2023,09:00,21-09-2023,17:00,Новоладожские ЭС,Волховский РЭС,
Ленинградская область,Волховский район,"Песчаный карьер (Кисельня),  д. Селивёрстово",,21-09-2023,09:00,21-09-2023,18:00,Новоладожские ЭС,Волховский РЭС,
Ленинградская область,Выборгский район (ЛО),"п Симагино,  п Подгорное ","Лен ВО Подсобное хозяйство Птичник,  СНТ Надежда-3,   СНТ Сабур Лесное,  ур.Славино,  СНТ Нива,  СНТ Подгорное,  индивидуальные застройщики ",21-09-2023,09:00,21-09-2023,17:00,Выборгские ЭС,Рощинский РЭС,
Ленинградская область,Выборгский район (ЛО),"п Симагино,  п Подгорное ","Лен ВО Подсобное хозяйство Птичник,  СНТ Надежда-3,   СНТ Сабур Лесное,  ур.Славино,  СНТ Нива,  СНТ Подгорное,  индивидуальные застройщики ",21-09-2023,09:00,21-09-2023,17:00,Выборгские ЭС,Рощинский РЭС,
Ленинградская область,Кировский район (ЛО),д.Кобона,,21-09-2023,09:00,21-09-2023,17:00,Новоладожские ЭС,Волховский РЭС,Работы для улучшения качества и надежности электроснабжения потребителей 
Ленинградская область,Подпорожский район,Важины,"Зеленая,  Механизаторов",21-09-2023,09:00,21-09-2023,17:00,Новоладожские ЭС,Лодейнопольский РЭС,
Ленинградская область,Лужский район,Пустынь,,21-09-2023,08:00,22-09-2023,17:00,Кингисеппские ЭС,Лужский РЭС,
Ленинградская область,Бокситогорский район,д.Забелье Ефимовское с/п,,21-09-2023,06:00,21-09-2023,18:00,Тихвинские ЭС,Бокситогорский РЭС,
Ленинградская область,Бокситогорский район,"д. Новинка,  д.Логиново,  д. Курята д.Толсть , д.Бирючево, д.Коргорка, д.Дубровка, д.Забелино, д.Маклаково, д.Селище",д.Климово пилорамы,21-09-2023,04:00,21-09-2023,17:00,Тихвинские ЭС,Бокситогорский РЭС,
Ленинградская область,Гатчинский район ,"Антропшино,  г. Коммунар,  д. Покровское,  Пудомягское сп.,  ,  КП ""Русская усадьба""","ул. Антропшинская ч/сектор д.75-115,  Гамболовский проезд,  ДНП Покровская Усадьба,  Парковая д.3,  Садоводство Славяночка-2,  Славяночка-3,  КП Павловские Дачи,  ",21-09-2023,00:00,21-09-2023,07:00,Южные электрические сети,Пушкинский РЭС,
Ленинградская область,Подпорожский район,Красный Бор,,20-09-2023,16:00,20-09-2023,19:00,Новоладожские ЭС,Лодейнопольский РЭС,
Ленинградская область,Ломоносовский район,"д. Гостилицы         д. Петровское СНТ ""Заозерное""  д. Порожки",,20-09-2023,15:29,20-09-2023,22:00,Гатчинские ЭС,Ломоносовский РЭС,аварийное отключение
Санкт-Петербург,Колпинский район,п. Шушары,Пром. зона Шушары,20-09-2023,14:00,20-09-2023,17:00,Южные электрические сети,Колпинский РЭС,
Ленинградская область,Выборгский район (ЛО),п.Большое Поле,частично,20-09-2023,13:00,20-09-2023,16:00,Выборгские ЭС,Выборгский РЭС,
Санкт-Петербург,Колпинский район,п. Усть-Славянка,ул. Советский проспект д. 39 К1; д. 41 К1; д. 43 К1; д. 43 К2; д. 49; д. 49 К4; ул. Гудиловская д. 6 К2; д. 6 К3,20-09-2023,13:00,20-09-2023,17:00,Южные электрические сети,Колпинский РЭС,
Ленинградская область,Ломоносовский район,"д.Капорское,  д. Кемпелево,  д.Тиммолово,  д.Яльгелево.",,20-09-2023,12:00,20-09-2023,17:00,Южные электрические сети,Красносельский РЭС,
Санкт-Петербург,Петроградский район,Санкт-Петербург,"Петроградская наб.,  д. 2-4; ул. Пеньковая,  д. 3,  д. 8/6; ул. Куйбышева,  д. 23 к.2",20-09-2023,12:00,20-09-2023,18:00,Кабельная сеть,Островной РЭС,Перевод нагрузки на Т-2
Санкт-Петербург,Фрунзенский район,Санкт-Петербург,Лиговский пр. д.138 л.А; д.140 л.А; д.144 л.А,20-09-2023,11:00,20-09-2023,14:00,Кабельная сеть,Южный РЭС,
Санкт-Петербург,Невский район,г. Санкт-Петербург,"пр. Елизарова,  д. 16,  лит. А.",20-09-2023,11:00,20-09-2023,15:00,Кабельная сеть,Невский РЭС,кратковременно на 1-1.5 часа
Санкт-Петербург,Пушкинский район,тер. Пулковское,"Пулковское ш. д.103 уч. 56, 57, 61, 62, 63",20-09-2023,10:00,20-09-2023,17:20,Южные электрические сети,Пушкинский РЭС,
Ленинградская область,Ломоносовский район,"Райкузи,  Иннолово","ул. Садовая,  ул,  Посадская,  Заречная ",20-09-2023,10:00,20-09-2023,18:00,Южные электрические сети,Красносельский РЭС,"ТП-5840, ТП-6396"
Ленинградская область,Тихвинский район,д. Паголда ТП 143-22-20 (Паголда-котеджи) ,,20-09-2023,10:00,20-09-2023,17:00,Тихвинские ЭС,Тихвинский РЭС,Планируемое время отключения не более 5 часов в указанный период времени
Ленинградская область,Ломоносовский район,д.Лаголово,,20-09-2023,10:00,20-09-2023,17:00,Южные электрические сети,Красносельский РЭС,"ТП-6064, ТП-6491"
