"Регион РФ(область, край, город фед. значения, округ)",Административный район,Населённый пункт,Улица,Филиал,РЭС,Комментарий,Id здания,Координаты,Время начала отключения,Время восстановления отключения,Код района,Код РЭС,Период отключения(в часах)
Ленинградская область,Всеволожский район,"Приютино,  Ковалево",,Северные электрические сети,Всеволожский РЭС,,,,2023-09-21 10:00:00,2023-09-21 17:00:00,Всев,Всев,7
Ленинградская область,Тосненский район,п. Сиголово,"Солнечная,  Заречная",Гатчинские ЭС,Тосненский РЭС,"Выполнение замены провода на СИП, и вводов на здания.",,,2023-09-21 10:00:00,2023-09-21 17:00:00,Тосн,Тосн,7
Ленинградская область,Тосненский район,д. Сидорово,д.21а,Гатчинские ЭС,Тосненский РЭС,"Выполнение замены провода на СИП, и вводов на здания.",,,2023-09-21 10:00:00,2023-09-21 17:00:00,Тосн,Тосн,7
Ленинградская область,Тосненский район,д. Сидорово,д.21а,Гатчинские ЭС,Тосненский РЭС,"Выполнение замены провода на СИП, и вводов на здания.",,,2023-09-21 10:00:00,2023-09-21 17:00:00,Тосн,Тосн,7
Ленинградская область,Ломоносовский район,"д.Пигелево,  д. Кемяряйзи, д.Кемеряйзи,   д.Капорское,  ,  КП Аннинские высоты,  СНТ Колос 2",,Южные электрические сети,Красносельский РЭС,,,,2023-09-21 10:00:00,2023-09-21 20:00:00,Ломо,Крас,10
Ленинградская область,Ломоносовский район,д.Разбегаево,,Южные электрические сети,Красносельский РЭС,ТП-492,,,2023-09-21 10:00:00,2023-09-21 17:00:00,Ломо,Крас,7
Ленинградская область,Ломоносовский район,д.Райкузи,,Южные электрические сети,Красносельский РЭС,"ТП-5840, ТП-6396",,,2023-09-21 10:00:00,2023-09-21 18:00:00,Ломо,Крас,8
Ленинградская область,Ломоносовский район,п.Виллози.,,Южные электрические сети,Красносельский РЭС,ТП-516,,,2023-09-21 10:00:00,2023-09-21 17:00:00,Ломо,Крас,7
Ленинградская область,Ломоносовский район,п. Аннино.,,Южные электрические сети,Красносельский РЭС,ТП-579,,,2023-09-21 10:00:00,2023-09-21 17:00:00,Ломо,Крас,7
Ленинградская область,Лодейнопольский район,Рассвет,"д. 1,  2,  3,  4",Новоладожские ЭС,Лодейнопольский РЭС,,,,2023-09-21 10:00:00,2023-09-21 16:00:00,Лоде,Лоде,6
Ленинградская область,Лодейнопольский район,"д.Зиновий наволок,  Матреновщина",,Новоладожские ЭС,Лодейнопольский РЭС,,,,2023-09-21 10:00:00,2023-09-21 16:00:00,Лоде,Лоде,6
Ленинградская область,Ломоносовский район,СНТ Заостровье Заостровье Гостилицы ДНП Долина Уюта КП Медовая поляна Старый Бор Новое Заостровье СНТ Петергофские Предместья Большое Горлово ур. Мишелово Горлово,,Гатчинские ЭС,Ломоносовский РЭС,Плановые работы,,,2023-09-21 10:00:00,2023-09-21 17:00:00,Ломо,Ломо,7
Ленинградская область,Ломоносовский район,"д.Капорское,  д. Кемпелево,  д.Тиммолово,  д.Яльгелево.",,Южные электрические сети,Красносельский РЭС,,,,2023-09-21 10:00:00,2023-09-21 20:00:00,Ломо,Крас,10
Ленинградская область,Лужский район,Загорье,,Кингисеппские ЭС,Лужский РЭС,,,,2023-09-21 10:00:00,2023-09-22 16:00:00,Лужс,Лужс,6
Ленинградская область,Лужский район,Загорье,,Кингисеппские ЭС,Лужский РЭС,,,,2023-09-21 10:00:00,2023-09-22 16:00:00,Лужс,Лужс,6
Ленинградская область,Киришский район,д.Среднее село,Частично,Тихвинские ЭС,Тихвинский РЭС,,,,2023-09-21 10:00:00,2023-09-21 17:00:00,Кири,Тихв,7
Ленинградская область,Киришский район,д.Среднее село,Частично,Тихвинские ЭС,Тихвинский РЭС,,,,2023-09-21 10:00:00,2023-09-21 17:00:00,Кири,Тихв,7
Ленинградская область,Тосненский район,"Федоровское ГП, ","уч. Восточный,  1-й Восточный,  Промышленная,  Оборонная,  Пролетарская,  Техническая,  1-й Оборонный проезд,  ",Южные электрические сети,Пушкинский РЭС,,,,2023-09-21 10:00:00,2023-09-21 17:00:00,Тосн,Пушк,7
Ленинградская область,Тосненский район,"садоводческий массив ижора,  гп. Федоровское,  садоводство Контакт,  садоводство Текстиль,  садоводство Уголек","ул. Южная дорога,  ул. Полевая",Южные электрические сети,Пушкинский РЭС,,,,2023-09-21 10:00:00,2023-09-21 16:00:00,Тосн,Пушк,6
Ленинградская область,Ломоносовский район,"д.Кабацкое,  д.Ускуля,  д.Кукушкино,  д. Кузнецы,  д. Б. Коновалово,  ДНП ""Лада"",  ДНП ""Дружное"",  и др.",ч/с промзона и пр.,Южные электрические сети,Петродворцовый  РЭС,"Работы по монтажу опор ВЛ-6кВ, Ф.Гидроприбор-12, от РК-15 в сторону ТП-841П.",,,2023-09-21 10:00:00,2023-09-21 18:00:00,Ломо,Петр,8
Ленинградская область,Киришский район,Будогощь,"Железнодорожная 6б(м.Петерочка,  магнит,  Волховское райпо), Комсомольская,  Кооперативная,  Первомайская,  Кирова,  Октябрьская,  Озерная,  Делегатская,  дома №№ 1-20; Пионерская,  дома №№ 5,  6. Советская (частично)",Тихвинские ЭС,Тихвинский РЭС,,,,2023-09-21 10:00:00,2023-09-21 17:00:00,Кири,Тихв,7
Ленинградская область,Киришский район,Гремячево,частично,Тихвинские ЭС,Тихвинский РЭС,,,,2023-09-21 10:00:00,2023-09-21 17:00:00,Кири,Тихв,7
Ленинградская область,Гатчинский район ,"Выра,  Замостье",,Гатчинские ЭС,Гатчинский РЭС,Замена ЛР-481 оп. 63/3,,,2023-09-21 10:00:00,2023-09-21 18:00:00,Гатч,Гатч,8
