"Регион РФ(область, край, город фед. значения, округ)",Административный район,Населённый пункт,Улица,Филиал,РЭС,Комментарий,Id здания,Координаты,Время начала отключения,Время восстановления отключения,Код района,Код РЭС,Период отключения(в часах)
Ленинградская область,Волосовский район,"Ронковицы, Ольхово, Греблово, Медниково",население,Гатчинские ЭС,Ломоносовский РЭС,Плановые работы на ВЛ 10кВ ,,,2023-09-20 09:00:00,2023-09-20 18:00:00,Воло,Ломо,9
Ленинградская область,Волосовский район,"Красные Череповицы, Ржевка, Клопицы (частный сектор)",население,Гатчинские ЭС,Ломоносовский РЭС,Плановые работы на ВЛ 10кВ ,,,2023-09-20 09:00:00,2023-09-20 18:00:00,Воло,Ломо,9
Ленинградская область,Бокситогорский район,д.Абрамова Гора,,Тихвинские ЭС,Бокситогорский РЭС,,,,2023-09-20 09:00:00,2023-09-20 17:00:00,Бокс,Бокс,8
Ленинградская область,Волосовский район,"Шадырицы, Малая Александровка,  Неревицы",,Кингисеппские ЭС,Кингисеппский РЭС,,,,2023-09-20 09:00:00,2023-09-20 17:00:00,Воло,Кинг,8
Ленинградская область,Подпорожский район,Хевроньино,,Новоладожские ЭС,Лодейнопольский РЭС,,,,2023-09-20 09:00:00,2023-09-20 17:00:00,Подп,Лоде,8
Ленинградская область,Киришский район,"Еврейское болото, СТ Бережки",,Тихвинские ЭС,Тихвинский РЭС,,,,2023-09-20 09:00:00,2023-09-20 17:00:00,Кири,Тихв,8
Ленинградская область,Киришский район,СТ Рассвет,Полностью ,Тихвинские ЭС,Тихвинский РЭС,,,,2023-09-20 09:00:00,2023-09-20 17:00:00,Кири,Тихв,8
Ленинградская область,Киришский район,"д.Андреево,  д.Багольник",деревня,Тихвинские ЭС,Тихвинский РЭС,,,,2023-09-20 09:00:00,2023-09-20 17:00:00,Кири,Тихв,8
Ленинградская область,Всеволожский район,д.Сярьги,,Северные электрические сети,Сертоловский РЭС,,,,2023-09-20 09:00:00,2023-09-20 17:00:00,Всев,Серт,8
Ленинградская область,Тихвинский район,"д. Рандога,  д.Крючково,  д.Кулига",,Тихвинские ЭС,Тихвинский РЭС,,,,2023-09-20 09:00:00,2023-09-20 17:00:00,Тихв,Тихв,8
Ленинградская область,Лужский район,Раковичи,,Кингисеппские ЭС,Лужский РЭС,,,,2023-09-20 09:00:00,2023-09-20 17:00:00,Лужс,Лужс,8
Ленинградская область,Тихвинский район,г. Тихвин ТП 143-29-02 (СТО),,Тихвинские ЭС,Тихвинский РЭС,,,,2023-09-20 09:00:00,2023-09-20 17:00:00,Тихв,Тихв,8
Ленинградская область,Лужский район,"Стелево,  Хвощно,  Красая Горка,  Святье",,Кингисеппские ЭС,Лужский РЭС,,,,2023-09-20 08:00:00,2023-09-20 17:00:00,Лужс,Лужс,9
Ленинградская область,Бокситогорский район,д.Забелье Ефимовское с/п,,Тихвинские ЭС,Бокситогорский РЭС,,,,2023-09-20 06:00:00,2023-09-20 18:00:00,Бокс,Бокс,12
Ленинградская область,Ломоносовский район,"д. Лопухинка,  д. Старая буря,  д. Медуши,  д. Савольщина,  д. Заостровье,  д. Горки,  д. Никольское,  ур. Никкорово,  ТЕЛЕ-2,  Пилорама,  Аква,  Близь Извары,  СНТ Медуши,  ДНП Горки-Гольф,  СНТ Олимп,  СНТ Радужное,  Хомич,  ДНП Лопухинская Мыза,  Тепличный комбинат Колос,  ООО Юлия,  ДНП Сказка,  ООО Штаб,  садоводство Морской порт,  садоводство Лопухинка,  ООО Илеть,  СНТ Луговое,  ООО Эрланг,  ДНП Лесная Поляна,  ДНП Заостровье,  КП Поляны,  Надежда,  Березняки,  ",И ВСЕ СНТ и ДНП находящиеся рядом с этими населенными пунктами,Гатчинские ЭС,Ломоносовский РЭС,Плановые переключения по переносу нагрузки продолжительностью 30-40 минут в указанном промежутке времени,,,2023-09-19 23:30:00,2023-09-20 04:00:00,Ломо,Ломо,4
Ленинградская область,Тосненский район,"д.Нурма(часть), СНТ-Клюльвия, Нечеперть, Мир, д.Горка, д.Жоржино",,Гатчинские ЭС,Тосненский РЭС,Переключения .,,,2023-09-19 21:06:00,2023-09-19 21:26:00,Тосн,Тосн,0
Санкт-Петербург,Красносельский район,"г. Красное Село ,  д. Лаголово","г. Красное Село  Кингисеппское шоссе ш. д.27 к.2 лит.Л.  д. Лаголово  Школа ,  ул. Садовая",Южные электрические сети,Красносельский РЭС,На 30 минут.,,,2023-09-19 20:00:00,2023-09-20 06:00:00,Красс,Крас,10
Ленинградская область,Ломоносовский район,д.Пеники и др.,ч/с и др. объекты,,,"Кратковременное отключение Ф.223-07 19.09.2023 и 20.09.2023 в период времени с 20-00 до 24-00 продолжительностью до 5 минут. Изменение уставок РЗиА по Ф.223-07 на ПС-223 ""Дамба"". ",,,2023-09-19 20:00:00,2023-09-20 23:59:00,Ломо,,3
Ленинградская область,Выборгский район (ЛО),п Заполье ,ДНП Полянка,Выборгские ЭС,Рощинский РЭС,,,,2023-09-19 14:00:00,2023-09-19 16:00:00,Выбо (ЛО),Рощи,2
Ленинградская область,Волосовский район,Клопицы ,"население МКД №1, 2, 3, 13, 14, 15,  водозабор,  школа,  ГРС",Гатчинские ЭС,Ломоносовский РЭС,плановые работы на ТП-8126,,,2023-09-19 13:00:00,2023-09-19 17:00:00,Воло,Ломо,4
Ленинградская область,Всеволожский район,Невская Дубровка,,Северные электрические сети,Всеволожский РЭС,,,,2023-09-19 12:00:00,2023-09-19 17:00:00,Всев,Всев,5
Санкт-Петербург,Красносельский район,Красное село,"пр. Ленеина,  ул.Красноармейская",Южные электрические сети,Красносельский РЭС,ТП-413 1СШ,,,2023-09-19 12:00:00,2023-09-19 15:00:00,Красс,Крас,3
Ленинградская область,,"Даймище,  Рождествено",,Гатчинские ЭС,Гатчинский РЭС,,,,2023-09-19 12:00:00,2023-09-19 18:00:00,,Гатч,6
Ленинградская область,Волосовский район,п. Бегуницы д. Б. Лашковицы д. Большое Тешково д. Малое Тешково д. Куйлово  д. Томарово д. Кемполово д. Красная Мыза д. Кайкино д. Синковицы д. Старые Бегуницы,,Гатчинские ЭС,Ломоносовский РЭС,Аварийное отключение,,,2023-09-19 11:00:00,2023-09-19 17:00:00,Воло,Ломо,6
Ленинградская область,Гатчинский район ,Батово,,Гатчинские ЭС,Гатчинский РЭС,,,,2023-09-19 10:30:00,2023-09-19 18:00:00,Гатч,Гатч,7
Ленинградская область,Бокситогорский район,д. Костерино,,Тихвинские ЭС,Бокситогорский РЭС,,,,2023-09-19 10:00:00,2023-09-19 16:00:00,Бокс,Бокс,6
,,"Райкузи,  Иннолово","ул. Садовая,  ул,  Посадская,  Заречная ",Южные электрические сети,Красносельский РЭС,"ТП-5840, ТП-6396",,,2023-09-19 10:00:00,2023-09-19 18:00:00,,Крас,8
Ленинградская область,Ломоносовский район,д.Лаголово,,Южные электрические сети,Красносельский РЭС,ТП-2044,,,2023-09-19 10:00:00,2023-09-19 17:00:00,Ломо,Крас,7
Ленинградская область,Всеволожский район,"д.Суоранда, д.Верхняя",,Северные электрические сети,Всеволожский РЭС,,,,2023-09-19 10:00:00,2023-09-19 18:36:00,Всев,Всев,8
Санкт-Петербург,Красносельский район,Красное село,пр. Ленина,Южные электрические сети,Красносельский РЭС,ТП-407к отключение на 2 часа,,,2023-09-19 10:00:00,2023-09-19 17:00:00,Красс,Крас,7
Ленинградская область,Всеволожский район,Невская Дубровка,,Северные электрические сети,Всеволожский РЭС,,,,2023-09-19 10:00:00,2023-09-19 17:00:00,Всев,Всев,7
Санкт-Петербург,Калининский район,Санкт-Петербург,пр.Мечникова/ул.Замшина-светофор; ЖЭУ 21 Калининского района,Кабельная сеть,Восточный РЭС,,,,2023-09-19 10:00:00,2023-09-19 22:00:00,Кали,Вост,12
Ленинградская область,Тосненский район,п. Сиголово,"Солнечная,  Заречная",Гатчинские ЭС,Тосненский РЭС,"Выполнение замены провода на СИП, и вводов на здания.",,,2023-09-19 10:00:00,2023-09-19 17:00:00,Тосн,Тосн,7
Ленинградская область,Киришский район,ур.Посадников Остров," СНТ Радуга 2,  СНТ Радуга ,  СНТ Жилищник,  СНТ  Луг,  СНТ  Дружба,  СНТ  Энергетик,  СНТ  Водник,  МТС Посадниково,  СНТ Свет,  СНТ Анкер,  Союз,  СНТ Восток,  Вышка связи,  СНТ Маяк,  СНТ Флора,  СНТ Дорожник,  СНТ Рестовратор,  СНТ Строитель,  СНТ Ветвузовец,  СНТ Меридиан,  СНТ Содружество,  СНТ Сигнал,  СНТ Эра,  СНТ Изумрудное,  СНТ Глобус,  СНТ Вымпел,  Линк ",Тихвинские ЭС,Тихвинский РЭС,,,,2023-09-19 10:00:00,2023-09-19 15:00:00,Кири,Тихв,5
Ленинградская область,Тосненский район,д. Сидорово,д.21а,Гатчинские ЭС,Тосненский РЭС,"Выполнение замены провода на СИП, и вводов на здания.",,,2023-09-19 10:00:00,2023-09-19 17:00:00,Тосн,Тосн,7
Ленинградская область,Выборгский район (ЛО),п.Житково,частично,Выборгские ЭС,Выборгский РЭС,,,,2023-09-19 10:00:00,2023-09-19 17:00:00,Выбо (ЛО),Выбо,7
Санкт-Петербург,Пушкинский район,г. Пушкин,"Витебский пр-т,  Заправки Тибойл (Шелл),  Кириши,  ГазпромНефть",Южные электрические сети,Пушкинский РЭС,,,,2023-09-19 10:00:00,2023-09-19 17:00:00,Пушк,Пушк,7
Ленинградская область,Ломоносовский район,"СНТ Балтийская Слобода 1,  2,  3; ДНП Калитино; ДНП Малиновые вечера ,  ",,Гатчинские ЭС,Ломоносовский РЭС,Плановые работы,,,2023-09-19 10:00:00,2023-09-19 17:00:00,Ломо,Ломо,7
Санкт-Петербург,Пушкинский район,г. Пушкин,ул. Октябрьский б-р д.7/29,Южные электрические сети,Пушкинский РЭС,,,,2023-09-19 10:00:00,2023-09-19 17:00:00,Пушк,Пушк,7
Ленинградская область,Ломоносовский район,д.Гостилицы (частично),"Котельная,  гаражи,  мастерские,  мол.завод",Гатчинские ЭС,Ломоносовский РЭС,"Плановые работы на участке ВЛ-10кВ.
Согласование №266",,,2023-09-19 10:00:00,2023-09-19 17:30:00,Ломо,Ломо,7
Ленинградская область,Выборгский район (ЛО),п Волочаевка,ДНП Волочаевское,Выборгские ЭС,Рощинский РЭС,,,,2023-09-19 10:00:00,2023-09-19 14:00:00,Выбо (ЛО),Рощи,4
Ленинградская область,Гатчинский район ,"п.Новинка, д.Новинка, Озерешно, Ольховец, Нестерково, Тарасино, Чаща, Дальний, Воцко, Кремено, Ракитино, СНТ""Новинка"".",,,,Работы на ПС-35 кВ Новинка.,,,2023-09-19 10:00:00,2023-09-19 18:00:00,Гатч,,8
Ленинградская область,Тосненский район,Федоровское,"шоссейная,  Красный Бор,  СНТ ""Микрорайон Самсоновка"" ",Южные электрические сети,Пушкинский РЭС,,,,2023-09-19 10:00:00,2023-09-19 17:20:00,Тосн,Пушк,7
Ленинградская область,Ломоносовский район,"д.Порзолово Болото,  СНТ ""Московка"",  СНТ ""Гнездо"" и др.","ч/с,  промзона и др. объекты",Южные электрические сети,Петродворцовый  РЭС,"Неплановые работы по ремонту ППр-394, перенос токоразделов.",,,2023-09-19 10:00:00,2023-09-19 18:00:00,Ломо,Петр,8
Ленинградская область,Ломоносовский район,"д.Кабацкое,  д.Ускуля,  д.Кукушкино,  д. Кузнецы,  д. Б. Коновалово,  ДНП ""Лада"",  ДНП ""Дружное"",  и др.",ч/с промзона и пр.,Южные электрические сети,Петродворцовый  РЭС,"Работы по монтажу опор ВЛ-6кВ, Ф.Гидроприбор-12, от РК-15 в сторону ТП-841П.",,,2023-09-19 10:00:00,2023-09-19 18:00:00,Ломо,Петр,8
Ленинградская область,Выборгский район (СПб),"п.Возрождение,  п.Глубокое",частично,Выборгские ЭС,Выборгский РЭС,,,,2023-09-19 10:00:00,2023-09-19 17:00:00,Выбо(СПб),Выбо,7
Ленинградская область,Выборгский район (ЛО),п.Ермилово,частично,Выборгские ЭС,Выборгский РЭС,,,,2023-09-19 10:00:00,2023-09-22 17:00:00,Выбо (ЛО),Выбо,7
Ленинградская область,Выборгский район (ЛО),п.Козлово,частично,Выборгские ЭС,Выборгский РЭС,,,,2023-09-19 10:00:00,2023-09-19 16:00:00,Выбо (ЛО),Выбо,6
Ленинградская область,Кингисеппский район,Тикопись,,Кингисеппские ЭС,Кингисеппский РЭС,,,,2023-09-19 10:00:00,2023-09-19 17:00:00,Кинг,Кинг,7
Ленинградская область,Ломоносовский район,д.Дубки и др.,"ч/с,  промзона и др. объекты",Южные электрические сети,Петродворцовый  РЭС,Аварийные работы по устранению ДКП (дерево) с ВЛ-6кВ.,,,2023-09-19 10:00:00,2023-09-19 14:00:00,Ломо,Петр,4
Санкт-Петербург,Центральный район ,Санкт-Петербург,Советская ул. .д. 11,Кабельная сеть,Центральный РЭС,,18475.0,"[59.93385598,30.368058042]",2023-09-25 13:00:00,2023-09-25 17:00:00,Цент,Цент,4
Санкт-Петербург,Центральный район ,Санкт-Петербург,"Советская ул.,  д. 24,  2",Кабельная сеть,Центральный РЭС,,82115.0,"[59.932431095,30.369875979]",2023-09-25 13:00:00,2023-09-25 17:00:00,Цент,Цент,4
Санкт-Петербург,Центральный район ,Санкт-Петербург,"ул. Моисеенко,  д. 2,  3,",Кабельная сеть,Центральный РЭС,,20356.0,"[59.937858699,30.376059968]",2023-09-25 13:00:00,2023-09-25 17:00:00,Цент,Цент,4
Санкт-Петербург,Центральный район ,Санкт-Петербург,"Дегтярная ул.,  д. 32",Кабельная сеть,Центральный РЭС,,2427.0,"[59.932651536,30.372682616]",2023-09-25 13:00:00,2023-09-25 17:00:00,Цент,Цент,4
Санкт-Петербург,Фрунзенский район,г. Санкт-Петербург,"Будапештская ул.,  д. 3,  ",Кабельная сеть,Невский РЭС,,6126.0,"[59.873298793,30.362795991]",2023-09-25 11:00:00,2023-09-25 17:00:00,Фрун,Невс,6
Санкт-Петербург,Приморский район (СПб),Санкт-Петербург,ул. Долгоозерная д. 12 к. 2,Кабельная сеть,Западный РЭС,,55120.0,"[60.01719552,30.244746804]",2023-09-25 11:00:00,2023-09-25 15:00:00,Прим,Запа,4
Санкт-Петербург,Приморский район (СПб),Санкт-Петербург,"ул. Яхтенная д. 32 к. 2,",Кабельная сеть,Западный РЭС,,206467.0,"[60.003059932,30.221086829]",2023-09-25 10:00:00,2023-09-25 17:00:00,Прим,Запа,7
Санкт-Петербург,Приморский район (СПб),Санкт-Петербург,"ул. Яхтенная д. 32 к. 3,",Кабельная сеть,Западный РЭС,,206467.0,"[60.003059932,30.221086829]",2023-09-25 10:00:00,2023-09-25 17:00:00,Прим,Запа,7
Санкт-Петербург,Приморский район (СПб),Санкт-Петербург,ул. Яхтенная д. 32 к. 4,Кабельная сеть,Западный РЭС,,206467.0,"[60.003059932,30.221086829]",2023-09-25 10:00:00,2023-09-25 17:00:00,Прим,Запа,7
Санкт-Петербург,Фрунзенский район,Санкт-Петербург,Волковский пр. д. 32,Кабельная сеть,Южный РЭС,,17269.0,"[59.896051627,30.357240321]",2023-09-25 10:00:00,2023-09-25 20:00:00,Фрун,Южны,10
Санкт-Петербург,Петроградский район,Санкт-Петербург,"Петровский пр.,  д. 1,  ",Кабельная сеть,Островной РЭС,Перевод нагрузки на ТП 1501,67868.0,"[59.959000882,30.274999486]",2023-09-25 10:00:00,2023-09-25 18:00:00,Петр,Остр,8
Санкт-Петербург,Красногвардейский район,Санкт-Петербург,"Пискаревский пр.,  д.35,  3",Кабельная сеть,Восточный РЭС,,107505.0,"[59.976990989,30.419179678]",2023-09-25 10:00:00,2023-09-25 21:00:00,Красг,Вост,11
Санкт-Петербург,Красногвардейский район,Санкт-Петербург,"Блюхера пр.,  д.38",Кабельная сеть,Восточный РЭС,,75569.0,"[59.976172861,30.421063331]",2023-09-25 10:00:00,2023-09-25 21:00:00,Красг,Вост,11
Санкт-Петербург,Центральный район ,Санкт-Петербург,"Джамбула пер.,  д. 9, 8",Кабельная сеть,Центральный РЭС,,3091.0,"[59.925560015,30.334392522]",2023-09-25 10:00:00,2023-09-25 18:00:00,Цент,Цент,8
Санкт-Петербург,Центральный район ,Санкт-Петербург,"реки Фонтанки,  д. 76, 8",Кабельная сеть,Центральный РЭС,,87969.0,"[59.926105804,30.336133944]",2023-09-25 10:00:00,2023-09-25 18:00:00,Цент,Цент,8
Санкт-Петербург,Курортный район,п.Комарово,"Щучье Озеро,  д.3 ",Северные электрические сети,Курортный РЭС,Установка УТКЗ,84989.0,"[60.214914073,29.784068122]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Комарово,"Щучьего озера,  д.5 , Б",Северные электрические сети,Курортный РЭС,Установка УТКЗ,113370.0,"[60.215628718,29.781940276]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Комарово,"Озера тер,  д.3 ",Северные электрические сети,Курортный РЭС,Установка УТКЗ,84989.0,"[60.214914073,29.784068122]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Комарово,"Озера тер,  д.2 , ",Северные электрические сети,Курортный РЭС,Установка УТКЗ,35775.0,"[60.097179002,30.069724148]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Комарово,"Щучье Озеро,  д.2 , ",Северные электрические сети,Курортный РЭС,Установка УТКЗ,86881.0,"[60.210959162,29.790061516]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Комарово,"Щучье Озеро,  д.2Б",Северные электрические сети,Курортный РЭС,Установка УТКЗ,197560.0,"[60.096404862,30.070738185]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Дубки ул,  д.28  ,  ",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",89130.0,"[60.005458347,29.99219645]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Дубки ул,  д.31  ,  ",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",127977.0,"[60.005832044,29.992954919]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Дубки ул,  д.33  ,  ",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",34290.0,"[60.00596656,29.992415548]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Дубки ул,  д.37  ,  ",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",77127.0,"[60.006280109,29.99141099]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Пограничная ул,  д.32 А",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",110948.0,"[60.010987952,29.993625408]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Пограничная ул,  д.49  ,  ",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",9395.0,"[60.126638147,30.128623402]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Пограничная ул,  д.50  ,  ",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",220313.0,"[60.008974097,29.99206443]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Пограничная ул,  д.51  ,  ",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",38747.0,"[60.126343221,30.129258547]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Пограничная ул,  д.53  ,  ",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",86457.0,"[60.007886752,29.990147743]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Пограничная ул,  д.54  ,  ",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",98498.0,"[60.008574923,29.991613511]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Пограничная ул,  д.59 А",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",25050.0,"[60.127256009,30.131552653]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Пограничная ул,  д.62  ,  ",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",100539.0,"[60.128181605,30.13249781]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Пограничная ул,  д.64  ,  ",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",75047.0,"[60.127975907,30.133013673]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Дубки ул,  д.37 А",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",77127.0,"[60.006280109,29.99141099]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Дубки ул,  д.38  ,  ",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",55325.0,"[60.006234822,29.9894273]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Дубки ул,  д.39  ,  ",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",99772.0,"[60.006448898,29.990762615]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Дубки ул,  д.41 А",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",93246.0,"[60.006549853,29.990455897]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Пограничная ул,  д.38 А",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",36432.0,"[60.010403344,29.993107075]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Пограничная ул,  д.50 А",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",220313.0,"[60.008974097,29.99206443]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Пограничная ул,  д.58  ,  ",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",11308.0,"[60.008021271,29.991067817]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Пограничная ул,  д.59  ,  ",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",25050.0,"[60.127256009,30.131552653]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Пограничная ул,  д.61  ,  ",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",60111.0,"[60.127336081,30.131992656]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Пограничная ул,  д.62 А",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",100539.0,"[60.128181605,30.13249781]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Дубки ул,  д.29  ,  ",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",30405.0,"[60.005930911,29.99390417]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Дубки ул,  д.43  ,  ",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",98455.0,"[60.006772664,29.989721098]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Пограничная ул,  д.64 А",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",75047.0,"[60.127975907,30.133013673]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Дубки ул,  д.40  ,  ",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",89492.0,"[60.006328673,29.989003355]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Пограничная ул,  д.52  ,  ",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",82110.0,"[60.008788735,29.991816558]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Дубки ул,  д.32  лит.А",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",19305.0,"[60.005906866,29.990858836]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Дубки ул,  д.34  лит.А",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",61910.0,"[60.006150604,29.990284831]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Дубки ул,  д.41  лит.А",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",93246.0,"[60.006549853,29.990455897]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Дубки ул,  д.29  лит.Б",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",54758.0,"[60.005692778,29.993686971]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Пограничная ул,  д.56  ,  ",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",110819.0,"[60.008405007,29.99149596]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Пограничная ул,  д.56  ,  ",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",110819.0,"[60.008405007,29.99149596]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Пограничная ул,  д.52 А",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",82110.0,"[60.008788735,29.991816558]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Пограничная ул,  д.51 А",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",38747.0,"[60.126343221,30.129258547]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Дубки ул,  д.42  ,  ",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",212790.0,"[60.006666568,29.988544373]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
